Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
Expo 58,Q20898659,Jonathan Coe,Jonathan Coe.jpg,Q734278,Royaume-Uni,Britannique,9782070455102,4,22,2020,2020-04-22T00:00:00Z,4,26,2020,2020-04-26T00:00:00Z,4,M,Broché,368,Gallimard
Testament à l’anglaise,,Jonathan Coe,Jonathan Coe.jpg,Q734278,Royaume-Uni,Britannique,9782070403264,8,23,2020,2020-08-23T00:00:00Z,9,5,2020,2020-09-05T00:00:00Z,13,M,Broché,688,Gallimard
Crossroads,Q108743629,Jonathan Franzen,Jonathan Franzen 2011 Shankbone 2.JPG,Q316607,États-Unis,Américaine,9782823614565,11,24,2022,2022-11-24T00:00:00Z,12,19,2022,2022-12-19T00:00:00Z,25,M,Ebook,704,L’Olivier
Le déclin de la lune,,Joseph Coulson,JCphoto.jpg,Q6282301,États-Unis,Américaine,9782848050379,1,3,2020,2020-01-03T00:00:00Z,1,10,2020,2020-01-10T00:00:00Z,7,M,Broché,496,Sabine Wespieser
La nuit. Le sommeil. La mort. Les étoiles.,,Joyce Carol Oates,Joyce carol oates 2014.jpg,Q217557,États-Unis,Américaine,9782848768953,1,1,2022,2022-01-01T00:00:00Z,1,19,2022,2022-01-19T00:00:00Z,18,F,Ebook,923,Philippe Rey
Folles nuits,,Joyce Carol Oates,Joyce carol oates 2014.jpg,Q217557,États-Unis,Américaine,9782848761824,6,5,2022,2022-06-05T00:00:00Z,6,16,2022,2022-06-16T00:00:00Z,11,F,Broché,238,Philippe Rey
Le Pouvoir des Mots: Discours de haine et politique du performatif,,Judith Butler,JudithButler2013.jpg,Q219368,États-Unis,Américaine,9782354801656,2,2,2021,2021-02-02T00:00:00Z,2,9,2021,2021-02-09T00:00:00Z,7,F,Broché,237,Amsterdam
"Ce qui fait une vie: Essai sur la violence, la guerre et le deuil",,Judith Butler,JudithButler2013.jpg,Q219368,États-Unis,Américaine,9782355220289,4,5,2021,2021-04-05T00:00:00Z,4,10,2021,2021-04-10T00:00:00Z,5,F,Ebook,180,La Découverte
Propriété privée,,Julia Deck,,Q18630101,France,Française,9782707347220,8,8,2023,2023-08-08T00:00:00Z,8,8,2023,2023-08-08T00:00:00Z,0,F,Ebook,176,Minuit
Liv Maria,Q112191590,Julia Kerninon,Julia Kerninon (2019).png,Q3189049,France,Française,9782378801540,11,29,2022,2022-11-29T00:00:00Z,11,30,2022,2022-11-30T00:00:00Z,1,F,Ebook,270,L’Iconoclaste
Toucher la terre ferme,,Julia Kerninon,Julia Kerninon (2019).png,Q3189049,France,Française,9782378802752,10,26,2023,2023-10-26T00:00:00Z,10,27,2023,2023-10-27T00:00:00Z,1,F,Ebook,115,Iconoclaste
Général Gouraud,,Julie d’Andurain,,Q29840990,France,Française,9782262035884,12,1,2023,2023-12-01T00:00:00Z,12,15,2023,2023-12-15T00:00:00Z,14,F,Ebook,512,Perrin
